tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,[],[],[],[]
2,aa,AA-1733-ORD-PHX,[],[],[],[]
3,aa,AA-1640-MIA-MCO,[],[],[],[]
4,aa,AA-518-MIA-JFK,[],[],[],[]
5,aa,AA-3756-ORD-SLC,[],[],[],[]
6,aa,AA-204-LAX-MCO,[],[],[],[]
7,aa,AA-3468-CVG-MIA,[],[],[],[]
8,aa,AA-484-DFW-MIA,[],[],[],[]
9,aa,AA-446-DFW-PHL,[],[],[],[]
10,aa,AA-466-IAH-MIA,[],[],[],[]
11,aa,AA-1886-BOS-MIA,[],[],[],[]
12,aa,AA-2957-DFW-CVG,[],[],[],[]
13,aa,AA-1664-MIA-ATL,[],[],[],[]
14,aa,AA-3979-CVG-ORD,[],[],[],[]
15,aa,AA-1279-DFW-PHX,[],[],[],[]
16,aa,AA-616-DFW-DTW,[],[],[],[]
17,aa,AA-4344-ORD-DTW,[],[],[],[]
18,aa,AA-2525-DFW-MIA,[],[],[],[]
19,aa,AA-404-MIA-MCO,[],[],[],[]
20,aa,AA-271-MIA-LAX,[],[],[],[]
21,aa,AA-2050-ORD-MIA,[],[],[],[]
22,aa,AA-4330-CVG-ORD,[],[],[],[]
23,aa,AA-1434-DFW-MCO,[],[],[],[]
24,aa,AA-4307-ORD-DTW,[],[],[],[]
25,aa,AA-3-JFK-LAX,[],[],[],[]
26,aa,AA-3842-MSP-ORD,[],[],[],[]
27,aa,AA-643-MIA-ORD,[],[],[],[]
28,aa,AA-1007-MIA-PHX,[],[],[],[]
29,aa,AA-1221-MCO-ORD,[],[],[],[]
30,aa,AA-400-DFW-JFK,[],[],[],[]
31,aa,AA-4198-ORD-CLE,[],[],[],[]
32,aa,AA-1522-SFO-ORD,[],[],[],[]
33,aa,AA-3823-LAX-DEN,[],[],[],[]
34,aa,AA-2312-DFW-DTW,[],[],[],[]
35,aa,AA-1165-JFK-MIA,[],[],[],[]
36,aa,AA-431-MIA-SFO,[],[],[],[]
37,aa,AA-649-ORD-SNA,[],[],[],[]
38,aa,AA-3063-SLC-LAX,[],[],[],[]
39,aa,AA-3804-PHL-ORD,[],[],[],[]
40,aa,AA-1917-JFK-MCO,[],[],[],[]
41,aa,AA-2268-PHX-ORD,[],[],[],[]
42,aa,AA-4277-CVG-JFK,[],[],[],[]
43,aa,AA-789-ORD-DEN,[],[],[],[]
44,aa,AA-415-BOS-ORD,[],[],[],[]
45,aa,AA-85-JFK-SFO,[],[],[],[]
46,aa,AA-1544-SAN-ORD,[],[],[],[]
47,aa,AA-3786-IAH-ORD,[],[],[],[]
48,aa,AA-222-LAX-BOS,[],[],[],[]
49,aa,AA-3809-PHX-LAX,[],[],[],[]
50,aa,AA-59-JFK-SFO,[],[],[],[]
51,helloflight,AA-3859-IAH-ORD,[],[],[],[]
52,helloflight,CO-1586-IAH-MCO,[],[],[],[]
53,helloflight,AA-518-MIA-JFK,[],[],[],[]
54,helloflight,UA-397-JFK-SFO,[],[],[],[]
